t1[0-9]	10	5c6df5b90f2d006	20	743130	743139
.*z	1667	c74e50255d6f06c4	3334	743130307a	7a
t[0-9a-f]+	6832	50647a101834e35b	13663	7430	74666666
(t1|t2)[a-z]	52	3f0b99d5b25d75a3	104	743161	74327a
t.*9	1667	7bbc24036a1e5ec2	3334	7431303039	747a7a39
[a-z][0-9]{2}	90	1904885a46afcbce	180	743130	743939
.*1.*2.*	2582	cf55b7788f6e7ac	5164	30783132	c3a9343132e282ac
t	1	d80d18aea7dbf030	2	74	74
	0	cbf29ce484222325	0	-	-
.*	65260	125870e82bdee557	130518	00	ff
t.	36	707d8794a5bb63cb	72	7430	747a
tz.*	1333	1a867ead80026bd1	2666	747a	747a7a7a
[^t].*	4875	acbdf65fbd2b1240	9749	00	c3a939e282ac
é[0-9]+€	500	5280bbeacea4a6b5	1000	c3a930e282ac	c3a939e282ac
é.*	500	5280bbeacea4a6b5	1000	c3a930e282ac	c3a939e282ac
a{16}[0-9]+	3000	2c8ea8693b1a3bd	6000	6161616161616161616161616161616130	61616161616161616161616161616161393939
a+1.*	1111	2815d92922598216	2222	6161616161616161616161616161616131	6161616161616161616161616161616131393939
.x1[0-2]?	144	375f63ad98ab539	288	307831	7a783132
t<100-2000>	1900	6dc530ad33406c61	3800	74313030	74393939
t[a-z]+&.*q.*	2003	85d8754bbaeb2b25	4006	74616171	747a7a71
#	0	cbf29ce484222325	0	-	-
(t0|t1|tz|t10)	4	38256152a71073a6	8	7430	747a
t1a.	36	17984bb203c8e563	72	74316130	7431617a
t[0-9]{2}[a-z]	2340	9c153e3f1f14628d	4680	74313061	7439397a
.*[qz][0-9]	920	3dabfc7b6ac39703	1840	7431307130	747a7a39
.	128	8152e1b62df2ed25	255	00	7f
.{2,3}	1656	a4c4896612dcb29f	3312	307830	c3a939e282ac
[0-9a-z]x1	36	5ae9c45a95b62b81	72	307831	7a7831
t9zz.*	1	bf0077b3a1274246	2	74397a7a	74397a7a
zzzz	0	cbf29ce484222325	0	-	-
t.*(0|9)	3334	a660056c19570fdc	6667	7430	747a7a39
@	65260	125870e82bdee557	130518	00	ff
t[^0-9].*	34658	d80af735fe3c705c	69315	7461	747a7a7a
t.{3}	45360	38c0b056a791e341	90719	74313030	747a7a7a
.*0	2160	7dccfc6abe1c8285	4319	30	7a783130
(a|é|t).	36	707d8794a5bb63cb	72	7430	747a
t[0-9]+[a-z]+[0-9]+	5050	d1267b296f07e470	10100	7431306130	74397a39
<0-99>x.*	403	162d11fe2f9f2633	806	307830	397839
